agency,subject_race,subject_sex,subject_age,search_conducted,contraband_found,arrest_made
in_fort_wayne_2020_04_01,100.0,100.0,100.0,100.0,100.0,0.177
id_idaho_falls_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
md_baltimore_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
fl_saint_petersburg_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
ca_anaheim_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
ca_san_bernardino_2020_04_01,100.0,100.0,100.0,100.0,100.0,0.2772775979585298
tx_lubbock_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
sd_statewide_2020_04_01,100.0,0.407,100.0,100.0,100.0,100.0
wa_tacoma_2020_04_01,100.0,100.0,100.0,100.0,100.0,0.0
az_gilbert_2020_04_01,100.0,100.0,100.0,100.0,100.0,100.0
