agency,risk_ratio,low,high
ct_hartford_2020_04_01,1.0186412677340095,0.9432900000374073,1.1001144642319929
ct_statewide_2020_04_01,2.5759233732566,2.5000834140331865,2.6540131290707674
la_new_orleans_2020_04_01,1.4044531072859308,1.3734636771115882,1.4361685160097064
nc_charlotte_2020_04_01,2.403223486084999,2.3522147637365007,2.455342585982395
nc_durham_2020_04_01,2.3524931945900756,2.2432966262189695,2.467049988523528
nc_fayetteville_2020_04_01,1.8740269543285026,1.801786942379731,1.9491799082428596
nc_greensboro_2020_04_01,1.9620215103249012,1.8972587022886735,2.028999740410529
nc_raleigh_2020_04_01,2.046507795821724,1.977699787808671,2.1177110771124306
pa_philadelphia_2020_04_01,1.1543122576813531,1.131559803364002,1.1775305988227085
tn_nashville_2020_04_01,2.0372390108735448,2.004645431797305,2.0703604679024825
